Week,Clemson (Pittjas),Florida State (Pest),North Carolina (Warren),Pittsburgh (Ricky),SMU (Doom),Notre Dame (Juice),Ohio State (Harp),Penn State (Derek),Tennessee (Cam),Washington (Gordon),Arkansas (Ezilla),Auburn (Danny),Nebraska (Phil),Ole Miss (Khalil),Texas A&M (K1ng),Texas Tech (JeskaiDad),Arizona State (Ptown),Michigan (Auto),Oregon (A hard),UCLA (Eeyore),USC (Steel),Utah (Fin),Alabama (Nekko),Florida (Willie),Georgia (Travvy),LSU (Donny),South Carolina (Allen),Texas (OP),Oklahoma (Joey),Miami (10),Indiana (4),Wisconsin (1)
Week 44,1454.051891,1512.115817,1801.898037,1394.339169,1479.365866,1584.744149,1552.90854,1497.726716,1361.957213,1426.130544,1245.509091,1442.016311,1541.667471,1650.475912,1680.006522,1289.936416,1590.065299,1233.238847,1650.848617,1569.920109,1434.638093,1467.806542,1518.67528,1566.690022,1546.212989,1608.417227,1708.779764,1622.271641,1501.648279,1402.385972,1511.417381,1500
Week 45,1498.223089,1529.780971,1816.408118,1394.339169,1479.365866,1540.572951,1576.792453,1497.726716,1361.957213,1426.130544,1245.509091,1476.953782,1541.667471,1650.475912,1694.018481,1289.936416,1590.065299,1233.238847,1650.848617,1591.937955,1399.700622,1453.794583,1494.791367,1566.690022,1546.212989,1593.907146,1661.064255,1669.98715,1479.630433,1384.720818,1511.417381,1500
Week 46,1515.971937,1501.848323,1824.944803,1394.339169,1479.365866,1540.572951,1576.792453,1482.524067,1361.957213,1454.818626,1233.578205,1451.915036,1541.667471,1615.346091,1709.221129,1289.936416,1590.065299,1233.238847,1650.848617,1627.067776,1399.700622,1453.794583,1494.791367,1591.728768,1574.145637,1593.907146,1661.064255,1669.98715,1491.561319,1366.97197,1502.880696,1500
Week 47,1489.604327,1501.848323,1824.944803,1448.000181,1479.365866,1540.572951,1523.13144,1493.745428,1361.957213,1421.276496,1233.578205,1451.915036,1568.035081,1635.332061,1709.221129,1289.936416,1590.065299,1222.017485,1650.848617,1627.067776,1425.754469,1487.336714,1479.115152,1591.728768,1574.145637,1593.907146,1661.064255,1685.663365,1471.575348,1340.918123,1502.880696,1500
Week 48,1514.210145,1501.848323,1828.696457,1423.394364,1479.365866,1540.572951,1549.666018,1462.336644,1347.944418,1421.276496,1233.578205,1427.101039,1568.035081,1635.332061,1709.221129,1289.936416,1590.065299,1222.017485,1650.848617,1627.067776,1422.002814,1512.15071,1510.523936,1620.244901,1588.158432,1565.391013,1661.064255,1696.225367,1461.013347,1340.918123,1502.880696,1473.465422
Week 49,1514.210145,1496.121796,1834.422984,1423.394364,1479.365866,1556.85205,1549.666018,1462.336644,1328.069527,1447.599124,1233.578205,1446.975929,1546.425368,1656.941775,1717.557268,1289.936416,1590.065299,1285.158753,1650.848617,1627.067776,1405.723715,1512.15071,1488.727896,1599.780176,1562.586622,1587.187053,1686.636066,1716.690092,1452.677208,1314.595495,1439.739429,1473.465422
Week 50,1514.210145,1496.121796,1836.331213,1455.784918,1479.365866,1556.85205,1508.509533,1503.493128,1328.069527,1476.284705,1211.501937,1446.975929,1530.508054,1656.941775,1733.474582,1312.012684,1590.065299,1285.158753,1650.848617,1585.076772,1373.333161,1554.141715,1468.256703,1599.780176,1583.057814,1629.963748,1643.859371,1716.690092,1452.677208,1312.687266,1411.053848,1473.465422
Week 51,1514.210145,1511.908896,1836.331213,1455.784918,1479.365866,1556.85205,1508.509533,1503.493128,1391.532227,1476.284705,1205.51781,1446.975929,1536.49218,1662.114245,1733.474582,1306.840214,1590.065299,1282.268587,1670.28297,1521.614072,1357.546061,1534.707361,1447.367145,1620.669734,1583.057814,1629.963748,1643.859371,1719.580258,1452.677208,1312.687266,1411.053848,1473.465422
Week 52,1527.972121,1535.39647,1836.331213,1432.297344,1479.365866,1556.85205,1477.211001,1523.328982,1381.683334,1507.583237,1202.776518,1420.734031,1536.49218,1664.855537,1737.758665,1302.556132,1590.065299,1282.268587,1680.131863,1547.855971,1343.784084,1534.707361,1447.367145,1644.667687,1559.059861,1629.963748,1643.859371,1719.580258,1452.677208,1312.687266,1391.217994,1473.465422
Week 53,1595.555482,1535.39647,1768.747852,1453.778069,1479.365866,1582.816163,1477.211001,1497.364869,1362.832456,1507.583237,1202.776518,1420.734031,1536.49218,1707.009084,1695.605118,1302.556132,1590.065299,1282.268587,1696.450052,1531.537781,1343.784084,1553.55824,1447.367145,1680.779592,1559.059861,1604.681987,1607.747466,1744.862019,1452.677208,1291.206542,1391.217994,1473.465422
Week 54,1567.122553,1586.648862,1768.747852,1453.778069,1479.365866,1582.816163,1477.211001,1469.088447,1362.832456,1535.859659,1202.776518,1453.941093,1536.49218,1707.009084,1695.605118,1302.556132,1590.065299,1282.268587,1696.450052,1547.412494,1327.909371,1553.55824,1414.160083,1629.527199,1559.059861,1604.681987,1636.180395,1744.862019,1452.677208,1291.206542,1391.217994,1473.465422
Week 55,1554.12252,1586.648862,1781.747886,1453.778069,1479.365866,1609.731832,1477.211001,1469.088447,1362.832456,1508.94399,1202.776518,1453.941093,1536.49218,1707.009084,1695.605118,1302.556132,1590.065299,1282.268587,1711.917537,1547.412494,1327.909371,1538.090755,1414.160083,1676.432835,1559.059861,1604.681987,1636.180395,1697.956382,1452.677208,1291.206542,1391.217994,1473.465422
Week 56,1554.12252,1545.33646,1794.718007,1453.778069,1479.365866,1609.731832,1477.211001,1508.711065,1362.832456,1497.43853,1202.776518,1453.941093,1577.804582,1718.514544,1695.605118,1302.556132,1590.065299,1282.268587,1711.917537,1547.412494,1327.909371,1538.090755,1414.160083,1676.432835,1519.437244,1591.711866,1614.432921,1719.703856,1452.677208,1291.206542,1391.217994,1473.465422
Week 57,1554.12252,1545.33646,1817.710063,1453.778069,1479.365866,1590.660599,1477.211001,1508.711065,1362.832456,1497.43853,1202.776518,1453.941093,1558.002944,1737.585777,1715.406756,1302.556132,1590.065299,1282.268587,1688.925481,1547.412494,1327.909371,1538.090755,1414.160083,1648.715739,1519.437244,1591.711866,1614.432921,1747.420953,1452.677208,1291.206542,1391.217994,1473.465422
Week 58,1554.12252,1545.33646,1841.303979,1453.778069,1479.365866,1590.660599,1477.211001,1508.711065,1362.832456,1497.43853,1202.776518,1453.941093,1558.002944,1713.991862,1752.542538,1302.556132,1590.065299,1282.268587,1688.925481,1547.412494,1327.909371,1538.090755,1414.160083,1648.715739,1519.437244,1591.711866,1614.432921,1710.285171,1452.677208,1291.206542,1391.217994,1473.465422
Week 59,1554.12252,1545.33646,1863.989199,1453.778069,1479.365866,1590.660599,1477.211001,1508.711065,1362.832456,1497.43853,1202.776518,1453.941093,1558.002944,1713.991862,1729.857318,1302.556132,1590.065299,1282.268587,1688.925481,1547.412494,1327.909371,1538.090755,1414.160083,1648.715739,1519.437244,1591.711866,1614.432921,1710.285171,1452.677208,1291.206542,1391.217994,1473.465422

